Time,,,,,,,A/C Mach,A/C Heading (deg),Weapon LAT (deg),,Weapon ALT (ft),Weapon Downtrack (ft),Weapon Crosstrack (ft),,,,Wpn Heading,Wpn Pitch,Wpn Roll,,S1SYSTM01500,S1SYSTM00505,Target LAT (deg),,Target ALT (ft),S1FCPTT004,S1FCPTT005,,S1STGT101107,Tgt Impact Angle,S1STGT101106,Tgt Impact Heading,S1STGT101108,Tgt Offset North,Tgt Offset East,Tgt Offset Down,S1STGT101004
274:07:05:18.992,,,,,,,0.886710,11.806068,31.861958,,20059.796875,51810.371094,399.137238,,,,12.196494,-0.367013,-2.090569,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.055,,,,,,,0.886710,11.806068,31.862112,,20060.070313,51752.648438,403.356323,,,,12.195011,-0.377977,-2.043315,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.118,,,,,,,0.886710,11.806068,31.862262,,20060.351563,51696.183594,400.145020,,,,12.193838,-0.383371,-1.981377,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.181,,,,,,,0.886710,11.806068,31.862436,,20060.687500,51630.722656,400.713226,,,,12.196065,-0.386105,-1.891377,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.244,,,,,,,0.886710,11.806068,31.862590,,20060.986328,51573.296875,400.033752,,,,12.195251,-0.402980,-1.871493,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.307,,,,,,,0.886710,11.806068,31.862764,,20061.343750,51507.894531,393.853180,,,,12.207289,-0.407274,-1.889811,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.370,,,,,,,0.886710,11.806068,31.862918,,20061.658203,51450.207031,392.533325,,,,12.198688,-0.424277,-1.889628,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.433,,,,,,,0.886710,11.806068,31.863068,,20061.976563,51393.667969,399.429596,,,,12.184210,-0.426813,-1.888906,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.496,,,,,,,0.885922,11.715145,31.863218,,20062.300781,51337.210938,395.220642,,,,12.199162,-0.436475,-1.921149,,0,1,31.999672,,0.000000,-448.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.559,,,,,,,0.885922,11.715145,31.863369,,20062.630859,51281.023438,390.582947,,,,12.207898,-0.470457,-2.011591,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.622,,,,,,,0.885922,11.715145,31.863546,,20063.017578,51214.300781,398.443695,,,,12.219558,-0.445294,-2.103659,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.685,,,,,,,0.885922,11.715145,31.863696,,20063.353516,51157.828125,397.428223,,,,12.216825,-0.467545,-2.149138,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.748,,,,,,,0.885922,11.715145,31.863874,,20063.837891,51091.105469,404.581146,,,,12.228467,-0.477729,-2.217403,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.811,,,,,,,0.885922,11.715145,31.864024,,20064.164063,51034.671875,398.030334,,,,12.223306,-0.457175,-2.263094,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.874,,,,,,,0.885922,11.715145,31.864175,,20064.484375,50978.144531,403.450745,,,,12.230852,-0.488008,-2.273287,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:19.937,,,,,,,0.885922,11.715145,31.864325,,20064.798828,50921.925781,402.622772,,,,12.239643,-0.490236,-2.259861,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.000,,,,,,,0.885922,11.715145,31.864502,,20065.156250,50855.253906,404.160248,,,,12.228641,-0.487764,-2.215150,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.063,,,,,,,0.885922,11.715145,31.864653,,20065.462891,50798.753906,406.008240,,,,12.235329,-0.535935,-2.157630,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.126,,,,,,,0.885922,11.715145,31.864830,,20065.808594,50732.085938,406.189850,,,,12.241005,-0.530563,-2.073249,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.189,,,,,,,0.885922,11.715145,31.864981,,20066.101563,50675.613281,404.897980,,,,12.256997,-0.566055,-1.994543,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.252,,,,,,,0.885922,11.715145,31.865131,,20066.390625,50619.109375,407.099396,,,,12.253131,-0.596446,-1.902427,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.315,,,,,,,0.885922,11.715145,31.865285,,20066.669922,50561.683594,406.092834,,,,12.261684,-0.613939,-1.799667,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.378,,,,,,,0.885922,11.715145,31.865435,,20066.945313,50505.195313,406.323517,,,,12.247362,-0.662682,-1.708940,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.441,,,,,,,0.885922,11.715145,31.865609,,20067.253906,50439.750000,405.654083,,,,12.238323,-0.709309,-1.615533,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.504,,,,,,,0.885922,11.715145,31.865763,,20067.507813,50382.105469,400.125793,,,,12.250706,-0.753994,-1.522138,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.567,,,,,,,0.885922,11.715145,31.865937,,20067.787109,50316.636719,401.277924,,,,12.239352,-0.802167,-1.428377,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.630,,,,,,,0.885922,11.715145,31.866087,,20068.011719,50260.386719,404.303528,,,,12.219461,-0.835015,-1.357590,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.693,,,,,,,0.885922,11.715145,31.866241,,20068.224609,50202.746094,398.046570,,,,12.217996,-0.869189,-1.319593,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.756,,,,,,,0.885926,11.764104,31.866391,,20068.421875,50146.253906,398.723267,,,,12.215638,-0.911959,-1.291324,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.819,,,,,,,0.885926,11.764104,31.866541,,20068.599609,50089.789063,396.539215,,,,12.210731,-0.931943,-1.265320,,0,2,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.882,,,,,,,0.885926,11.764104,31.866692,,20068.482422,50033.167969,412.888336,,,,12.325915,-0.986967,-1.147872,,0,4,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:20.945,,,,,,,0.885926,11.764104,178.924838,,46695.687500,-31650928.000000,-93364408.000000,,,,-29.524788,-51.253201,13.708355,,0,4,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:21.008,,,,,,,0.885926,11.764104,193.248769,,7637.442871,-78402752.000000,27096192.000000,,,,-38.659565,90.000000,95.276642,,0,4,31.999672,,0.000000,704.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
