Time,Weapon LAT (deg),Weapon LON (deg),Weapon ALT (ft),Target LAT (deg),Target LON (deg),Target ALT (ft),Separation Time
274:07:05:21.700,-55.55942980961945,45.563732861386505,20042.992188,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.763,-55.50430674172294,45.64357398198439,20038.626953,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.826,-55.46087615251227,45.70625677998121,20033.414063,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.889,-55.802246103662256,45.208429419864316,20028.964844,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:21.952,-55.84115039668457,45.15084542883343,20024.640625,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.015,-25.033468122213694,19.991382868039672,20020.476563,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.078,-25.033629337711925,19.991419929578576,20016.421875,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.141,-25.03379679278537,19.99135434945652,20011.701172,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.204,-25.033929505231324,19.991098421566434,20006.847656,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.267,-25.033672609091813,19.98873678773449,20002.484375,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.330,-113.71738946228787,-129.71944961942523,1397.184204,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.393,-25.293012771442278,20.00201272040142,19992.953125,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.456,-25.034343300771923,19.98997117773917,19987.695313,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.519,-25.03445984774856,19.98975607387995,19982.103516,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.582,-25.03459528722315,19.989519540336378,19975.226563,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.645,-25.03472137386548,19.98935307654387,19969.117188,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.708,-25.046046713328273,20.02631255348393,19961.824219,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.771,-25.0350612246371,19.989426705317754,19955.498047,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.834,-25.035225440595433,19.9894809023545,19949.132813,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.897,-25.035398208169816,19.989070586171735,19942.697266,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:22.960,-139.10541340322283,29.385315373437123,19933.957031,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.023,-25.035329903412652,19.98721600591487,19928.361328,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.086,-25.035828859743816,19.989166773609547,19920.326172,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:23.149,-25.0359682868672,19.989077460681397,19913.261719,31.999672,34.0,15010.59375,274:07:05:21.638
